const __farflash unsigned char emcdata[]={ 
* Fire/EMC data 20 sec(2000 lines of 3 element array from excel) */
140,139,139,
140,140,139,
141,140,139,
139,138,139,
139,139,139,
138,139,139,
140,138,139,
139,138,139,
139,140,139,
139,141,139,
139,141,139,
138,141,139,
138,138,139,
139,139,139,
139,139,139,
140,140,140,
140,139,139,
139,137,139,
138,137,139,
137,138,139,
137,140,139,
137,140,139,
137,139,139,
138,140,139,
139,139,139,
138,137,139,
137,139,139,
137,140,139,
138,140,139,
138,140,140,
137,138,139,
138,139,138,
139,139,138,
139,139,139,
139,138,139,
138,139,139,
139,140,139,
139,138,138,
140,139,139,
139,140,139,
138,140,139,
138,140,139,
138,139,139,
138,138,139,
138,139,139,
137,138,139,
137,138,139,
138,138,139,
138,139,139,
138,139,139,
139,140,139,
139,140,139,
139,138,138,
139,139,139,
139,140,139,
139,140,139,
138,140,139,
138,139,139,
139,139,139,
140,140,139,
141,140,139,
140,139,139,
140,140,139,
139,140,139,
140,141,139,
138,141,139,
138,139,139,
138,140,139,
139,140,139,
139,141,139,
139,139,139,
140,139,139,
139,139,139,
138,140,139,
138,139,139,
138,138,139,
138,138,139,
138,137,139,
137,139,139,
138,139,140,
138,139,139,
139,139,139,
139,139,139,
138,139,139,
139,139,139,
138,139,139,
139,138,139,
139,139,139,
139,138,139,
139,139,139,
138,139,139,
138,139,139,
138,139,139,
140,139,139,
139,139,139,
139,139,139,
140,140,139,
139,140,139,
138,140,139,
138,139,139,
139,138,138,
139,139,139,
138,140,139,
138,139,139,
139,139,139,
138,139,139,
139,138,139,
139,139,139,
139,139,139,
140,139,139,
139,139,139,
140,139,139,
141,139,139,
140,140,139,
139,141,139,
139,141,139,
138,139,139,
139,139,139,
138,138,139,
138,139,139,
138,139,139,
138,139,139,
137,138,139,
138,137,139,
138,139,139,
138,139,139,
139,139,139,
140,138,139,
139,140,139,
138,139,139,
138,139,139,
138,139,139,
137,139,139,
137,139,139,
138,139,139,
138,139,139,
138,139,139,
138,138,139,
138,138,139,
138,138,139,
138,138,139,
139,139,139,
139,139,139,
138,139,139,
138,138,139,
139,139,139,
141,139,139,
141,139,139,
141,140,139,
140,139,139,
139,139,139,
138,138,139,
139,140,139,
138,139,139,
138,140,139,
138,139,139,
137,139,139,
138,139,139,
140,139,139,
140,139,139,
140,141,139,
139,141,139,
139,140,139,
140,141,139,
139,140,139,
139,139,139,
139,139,139,
139,140,139,
139,140,139,
139,140,139,
138,139,139,
138,138,139,
139,139,139,
139,139,139,
138,139,139,
138,139,139,
140,139,139,
139,139,139,
139,138,139,
138,139,139,
139,139,139,
138,139,139,
138,139,140,
139,139,139,
140,140,139,
139,138,139,
139,138,139,
139,139,139,
139,140,139,
140,141,139,
139,140,139,
137,138,139,
138,138,139,
140,139,139,
138,139,139,
138,139,139,
139,139,139,
138,138,139,
139,139,138,
139,139,139,
138,140,139,
139,139,139,
139,139,139,
138,139,139,
138,139,138,
139,139,138,
139,140,139,
139,140,139,
139,140,139,
139,140,139,
140,140,139,
141,141,139,
140,140,140,
139,139,139,
138,139,139,
138,140,139,
138,139,139,
139,139,139,
138,139,139,
139,138,139,
138,139,139,
138,139,139,
138,138,139,
138,138,139,
137,138,139,
137,138,139,
138,138,138,
138,138,139,
138,138,138,
138,138,139,
138,138,139,
136,138,138,
137,139,138,
138,139,139,
138,138,139,
138,137,139,
138,137,138,
138,138,138,
137,139,138,
137,139,139,
138,140,139,
137,139,139,
138,138,139,
139,138,139,
139,137,139,
137,138,139,
138,139,138,
139,139,139,
139,138,139,
139,138,139,
138,138,139,
139,139,139,
139,140,139,
138,139,139,
139,139,139,
138,139,139,
139,139,139,
