Terminal log file
Date: 16/04/2018 - 10:30:46
-----------------------------------------------
VerNo,count,reset,prealm,spike,alarm,gain,eauto,ecross,eamulr,FLA,FLA Avg,               FLA clip,FLB,FLB Avg,FLB clip,GU,GU Avg,GU clip,Sun,Sun Avg,Settling,Win Test,                 Temp,Fault,Bias,m10,m11,m12,m13,m14 NF,m15 vid mon,m16 moisture,m17 4_20ma,                   m30 24Vmon,m31 Temp,m32 walk test,m33 4.4V mon,m34 loop back,m35 sysflt,                     m36 15v mon,m37 relay,IR req,ch flag,ack,ENQ sent 
0.994,28,0,0,0,1,0,71501864,280834400,85421566,138,144,-1,139,143,-1,138,139,-1,139,139,0,-1,22,1,139,48,24,6,6,0,0,211,190,53,120,251,232,196,0,75,0,0,FFAE,0,
0.994,29,0,0,0,0,0,30047892,124605880,38430954,138,142,-1,139,142,-1,139,139,-1,139,139,0,-1,22,1,139,48,24,6,6,0,0,211,190,53,120,251,232,196,0,70,0,0,FFAE,0,
0.994,30,0,0,0,0,1,10772620,41447456,13418462,140,140,-1,140,140,-1,135,138,-1,139,139,0,-1,22,1,139,48,24,6,6,0,0,211,190,53,120,250,232,196,0,70,0,0,FFAE,0,
0.994,31,0,0,0,0,1,20096,196096,1010827,136,139,-1,137,140,-1,136,137,-1,139,139,0,-1,22,1,139,48,25,6,6,0,0,211,190,53,120,251,232,196,0,70,0,0,FFAE,0,
0.994,32,0,0,0,0,1,14656,128000,990345,136,138,-1,137,139,-1,135,137,-1,139,139,0,-1,22,1,139,48,24,6,6,0,0,211,190,53,119,251,232,196,0,70,0,0,FFAE,0,
0.994,33,0,0,0,0,1,6592,58112,969324,136,138,-1,136,138,-1,136,137,-1,139,139,0,-1,22,1,139,48,25,7,6,0,0,211,190,53,120,250,232,196,0,70,0,0,FFAE,0,
0.994,34,0,0,0,0,1,4160,35712,962586,137,137,-1,138,138,-1,136,137,-1,139,139,0,-1,22,1,139,48,25,6,6,0,0,211,190,53,120,251,232,196,0,69,0,0,FFAE,0,
0.994,35,0,0,0,0,1,1088,2816,952692,137,137,-1,138,138,-1,138,137,-1,139,139,0,-1,22,1,139,48,25,6,6,0,0,211,190,53,120,251,232,196,0,69,0,0,FFAE,0,
0.994,36,0,0,0,0,1,832,9984,954848,136,137,-1,138,138,-1,138,137,-1,139,139,0,-1,22,1,139,48,25,6,6,0,0,211,190,53,120,250,232,196,0,69,0,0,FFAE,0,
0.994,37,0,0,0,0,1,4800,33280,961855,138,137,-1,140,138,-1,139,137,-1,139,139,0,-1,22,1,139,48,25,6,6,0,0,211,190,53,119,251,232,196,0,69,0,0,FFAE,0,
0.994,38,0,0,0,0,1,19968,113920,986110,139,138,-1,138,138,-1,140,138,-1,139,139,0,-1,22,1,139,43,13,0,0,0,0,211,190,53,120,251,232,196,0,69,0,0,FFAE,0,
0.994,39,0,0,0,0,1,3968,20480,958005,137,138,-1,138,138,-1,140,138,-1,139,139,0,-1,22,1,139,48,24,6,6,0,0,211,190,53,120,250,232,196,0,69,0,0,FFAE,0,
0.994,40,0,0,0,0,1,4224,23040,958775,139,138,-1,139,138,-1,140,138,-1,139,139,0,-1,22,1,139,48,24,6,6,0,0,211,190,53,120,251,232,196,0,69,0,0,FFAE,0,
0.994,41,0,0,0,0,1,7744,84480,977255,139,138,-1,139,139,-1,143,139,-1,139,139,0,-1,22,1,139,48,24,6,6,0,0,211,190,53,120,251,232,196,0,69,0,0,FFAE,0,
-----------------------------------------------
Date: 16/04/2018 - 10:31:32
End log file
